Year,Population,Race
1960,232200,Malay
1961,242500,Malay
1962,250300,Malay
1963,257200,Malay
1964,267000,Malay
1965,277000,Malay
1966,287700,Malay
1967,295800,Malay
1968,300500,Malay
1969,306000,Malay
1970,298008,Malay
1971,316300,Malay
1972,321200,Malay
1973,326100,Malay
1974,330200,Malay
1975,334100,Malay
1976,337400,Malay
1977,340700,Malay
1978,344100,Malay
1979,347600,Malay
1980,328718,Malay
1981,333230,Malay
1982,337822,Malay
1983,342701,Malay
1984,347423,Malay
1985,352603,Malay
1986,357878,Malay
1987,363035,Malay
1988,369010,Malay
1989,375404,Malay
1990,384338,Malay
1991,392396,Malay
1992,400291,Malay
1993,408084,Malay
1994,415990,Malay
1995,423257,Malay
1996,430074,Malay
1997,436659,Malay
1998,443349,Malay
1999,449482,Malay
2000,455207,Malay
2001,461788,Malay
2002,468360,Malay
2003,469791,Malay
2004,475689,Malay
2005,480722,Malay
2006,485978,Malay
2007,490552,Malay
2008,495110,Malay
2009,500051,Malay
2010,503868,Malay
2011,506637,Malay
2012,509519,Malay
2013,512837,Malay
2014,516657,Malay
1960,1251600,Chinese
1961,1295000,Chinese
1962,1333000,Chinese
1963,1369300,Chinese
1964,1405500,Chinese
1965,1439500,Chinese
1966,1473800,Chinese
1967,1504400,Chinese
1968,1531400,Chinese
1969,1555000,Chinese
1970,1551446,Chinese
1971,1611100,Chinese
1972,1643400,Chinese
1973,1676800,Chinese
1974,1707100,Chinese
1975,1733700,Chinese
1976,1758800,Chinese
1977,1785300,Chinese
1978,1808200,Chinese
1979,1832400,Chinese
1980,1787816,Chinese
1981,1820036,Chinese
1982,1851239,Chinese
1983,1881299,Chinese
1984,1908792,Chinese
1985,1937090,Chinese
1986,1962855,Chinese
1987,1988046,Chinese
1988,2021529,Chinese
1989,2059130,Chinese
1990,2127872,Chinese
1991,2172300,Chinese
1992,2213002,Chinese
1993,2253587,Chinese
1994,2293201,Chinese
1995,2332878,Chinese
1996,2371807,Chinese
1997,2410107,Chinese
1998,2448687,Chinese
1999,2482640,Chinese
2000,2513847,Chinese
2001,2552077,Chinese
2002,2589525,Chinese
2003,2572607,Chinese
2004,2599813,Chinese
2005,2626723,Chinese
2006,2656358,Chinese
2007,2686997,Chinese
2008,2721779,Chinese
2009,2770303,Chinese
2010,2793980,Chinese
2011,2808254,Chinese
2012,2831984,Chinese
2013,2853751,Chinese
2014,2874380,Chinese
1960,133200,Indian
1961,135700,Indian
1962,137100,Indian
1963,137400,Indian
1964,138400,Indian
1965,140500,Indian
1966,141200,Indian
1967,142900,Indian
1968,144600,Indian
1969,145100,Indian
1970,140891,Indian
1971,146300,Indian
1972,147300,Indian
1973,148400,Indian
1974,149400,Indian
1975,150200,Indian
1976,151100,Indian
1977,151900,Indian
1978,152700,Indian
1979,153500,Indian
1980,143404,Indian
1981,148322,Indian
1982,153186,Indian
1983,158008,Indian
1984,162663,Indian
1985,167351,Indian
1986,171699,Indian
1987,176112,Indian
1988,180704,Indian
1989,185308,Indian
1990,194048,Indian
1991,198779,Indian
1992,203649,Indian
1993,208548,Indian
1994,214276,Indian
1995,220266,Indian
1996,227746,Indian
1997,236431,Indian
1998,245774,Indian
1999,253304,Indian
2000,257866,Indian
2001,262968,Indian
2002,271923,Indian
2003,269899,Indian
2004,278106,Indian
2005,291131,Indian
2006,303096,Indian
2007,313395,Indian
2008,323431,Indian
2009,343509,Indian
2010,348119,Indian
2011,349036,Indian
2012,351025,Indian
2013,351667,Indian
2014,353021,Indian
1960,29400,Others
1961,29200,Others
1962,29800,Others
1963,31100,Others
1964,30700,Others
1965,29900,Others
1966,31700,Others
1967,34500,Others
1968,35500,Others
1969,36400,Others
1970,23218,Others
1971,39200,Others
1972,40500,Others
1973,41700,Others
1974,43100,Others
1975,44600,Others
1976,46000,Others
1977,47400,Others
1978,48600,Others
1979,50000,Others
1980,22187,Others
1981,22815,Others
1982,23459,Others
1983,24158,Others
1984,24828,Others
1985,25572,Others
1986,26166,Others
1987,26671,Others
1988,27215,Others
1989,27785,Others
1990,29610,Others
1991,31230,Others
1992,32812,Others
1993,34328,Others
1994,35884,Others
1995,37114,Others
1996,38505,Others
1997,40206,Others
1998,42209,Others
1999,44256,Others
2000,46443,Others
2001,49069,Others
2002,53136,Others
2003,54594,Others
2004,59658,Others
2005,69238,Others
2006,80462,Others
2007,92138,Others
2008,102339,Others
2009,120013,Others
2010,125754,Others
2011,125324,Others
2012,125677,Others
2013,126496,Others
2014,126681,Others
